c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
70,45,23,36,4,82,68,66,11,23
69,19,42,12,93,14,3,68,46,67
98,70,84,29,95,93,8,49,61,37
85,86,97,11,92,23,8,78,55,66
98,53,68,48,42,83,73,18,85,36
28,15,0,53,45,99,13,53,64,94
48,47,47,27,64,10,39,23,63,15
54,39,16,50,19,49,20,75,38,38
49,4,42,94,74,89,21,96,45,7
63,75,86,4,34,1,86,19,78,43
64,74,87,78,53,71,83,6,68,65
55,73,39,43,35,17,22,88,9,38
16,56,50,0,4,72,32,99,86,35
94,97,65,80,24,34,40,27,2,10
6,48,6,84,1,15,50,59,9,65
61,54,73,23,9,99,4,27,13,17
82,44,16,90,48,4,87,63,60,52
34,35,10,8,50,81,50,37,57,34
83,61,48,8,23,53,85,12,67,97
97,78,49,16,42,76,19,68,2,17
78,66,74,28,27,54,59,78,23,5
78,6,38,8,9,46,32,56,93,34
28,11,40,88,71,47,91,76,57,64
75,86,58,25,54,20,83,66,28,97
37,53,45,69,48,48,15,37,31,57
56,76,15,7,21,8,7,83,69,79
85,66,68,13,53,24,26,66,64,19
29,80,60,65,28,17,94,90,7,40
11,75,12,19,55,25,47,82,14,32
88,38,99,16,0,30,85,7,28,85
33,17,22,96,10,20,33,99,48,46
21,96,44,86,68,32,17,65,6,60
43,87,95,30,80,83,24,33,11,98
67,66,77,50,28,12,50,11,28,85
8,18,69,26,50,11,92,24,2,74
37,6,23,17,57,48,54,90,49,51
95,24,22,1,87,30,67,40,80,32
17,70,51,25,43,16,68,78,7,62
3,84,67,72,76,43,62,33,25,94
15,62,67,28,30,73,8,78,97,50
87,19,44,54,54,20,51,2,39,7
77,96,71,37,97,21,40,24,70,64
86,5,98,7,38,60,48,77,86,86
9,79,28,38,54,77,99,13,93,93
78,22,29,88,68,98,34,37,43,3
73,97,41,82,29,52,87,13,36,89
75,96,75,80,46,89,97,24,36,16
26,98,35,42,86,98,33,46,53,61
61,43,19,15,50,92,20,60,97,24
89,27,22,94,36,38,82,3,62,91
59,68,12,62,56,4,87,21,42,60
54,62,0,12,77,28,18,27,28,85
16,93,41,62,1,95,35,54,70,2
9,89,49,36,36,82,76,31,9,87
12,63,80,70,64,72,52,74,86,16
75,15,64,39,85,80,16,97,93,74
84,89,47,55,75,33,32,8,9,0
33,56,90,89,62,89,89,13,1,62
81,73,83,33,92,81,30,65,55,13
20,27,42,52,74,93,38,91,19,98
88,52,73,0,35,98,85,83,75,2
16,61,7,74,71,22,29,71,54,64
61,22,41,46,32,74,67,79,98,49
87,79,72,52,70,74,84,41,39,40
0,11,64,18,61,23,81,33,37,26
64,29,1,34,81,5,1,19,20,90
87,63,88,24,24,54,36,58,85,31
64,66,40,14,68,25,64,9,10,92
72,22,94,73,80,83,32,60,46,53
0,49,4,48,81,51,59,49,54,92
0,82,86,17,17,65,1,69,34,39
79,93,87,18,55,26,0,31,70,87
72,33,87,9,16,22,4,51,77,23
12,71,33,57,95,42,39,60,77,12
3,70,79,27,73,88,50,15,57,9
68,73,6,86,66,32,0,57,24,73
98,27,73,83,67,44,73,24,26,78
52,26,76,87,35,88,95,14,37,99
22,37,56,86,53,39,94,11,98,29
8,48,64,46,89,9,21,61,58,97
81,5,90,57,29,43,27,81,62,12
34,4,63,75,50,49,22,30,65,66
65,2,72,21,59,3,91,98,79,67
8,83,72,46,20,81,85,80,18,82
74,3,69,51,54,96,60,69,99,70
28,95,71,19,91,78,60,59,12,94
4,95,72,18,91,78,9,90,46,78
88,8,52,2,30,15,14,54,69,62
21,20,34,92,88,42,1,25,19,28
45,26,31,5,33,50,8,42,92,4
39,85,2,14,40,13,76,42,15,5
83,59,54,75,77,23,56,60,23,94
87,92,58,89,39,96,87,81,15,47
97,5,56,77,70,29,73,42,50,66
75,61,29,1,72,11,71,1,12,14
62,94,79,87,66,27,46,52,55,88
73,75,54,28,57,7,48,81,43,70
94,51,24,72,13,24,44,81,34,13
12,70,35,21,64,90,63,51,50,9
35,92,70,20,71,67,79,84,38,8
94,93,16,4,63,95,90,65,42,55
88,38,82,0,2,91,46,34,77,52
45,39,94,34,44,85,60,40,58,36
5,70,66,98,97,33,30,60,77,52
13,54,88,10,74,28,79,94,47,11
12,67,82,16,64,36,0,81,73,88
94,99,98,89,64,23,17,97,14,4
33,8,16,0,46,20,18,75,62,72
74,67,53,73,59,22,82,76,49,96
18,47,87,68,89,81,12,44,35,47
30,39,81,19,57,44,10,95,96,26
98,13,8,45,95,8,77,44,55,84
86,13,18,55,61,24,24,23,11,44
27,16,8,38,86,64,78,93,11,20
54,75,57,86,72,12,66,12,26,68
44,41,12,69,33,74,89,30,99,25
31,62,39,89,43,69,32,19,23,47
67,55,48,86,34,75,22,41,25,58
84,38,14,34,30,16,61,23,16,6
18,6,34,74,83,13,11,41,66,33
46,11,65,83,78,91,38,53,97,94
83,19,19,83,40,68,62,91,36,86
13,14,74,52,29,41,16,7,47,71
22,88,79,14,34,27,31,88,72,26
0,93,64,19,67,56,71,52,18,77
47,44,72,24,78,26,23,20,14,14
53,10,72,83,17,98,59,12,93,99
15,23,51,1,39,57,55,28,37,22
60,52,86,80,37,20,44,76,82,97
82,39,10,46,26,47,68,38,92,5
32,14,33,53,6,99,5,24,24,90
89,29,23,98,35,10,39,27,41,98
92,83,20,8,53,74,20,18,3,4
51,10,10,31,5,7,6,94,68,78
17,86,97,49,95,44,30,71,79,7
23,61,4,30,32,84,3,23,33,43
6,3,66,74,3,31,23,85,99,78
90,74,73,65,73,53,68,48,3,82
35,33,29,83,87,42,25,74,57,6
56,71,8,71,98,2,76,23,68,46
15,25,17,6,62,18,43,53,35,81
39,70,14,83,39,64,23,15,20,82
80,97,66,92,78,86,93,12,8,35
57,2,44,57,88,80,88,91,82,30
79,86,98,94,95,8,29,67,0,10
3,77,6,16,46,0,38,5,12,13
7,82,97,63,83,64,10,35,70,21
38,40,15,88,20,41,83,68,55,85
3,83,95,76,14,86,4,73,60,73
2,48,95,73,56,38,60,45,51,84
54,2,54,56,82,70,83,74,39,71
46,36,89,46,62,45,98,84,87,85
58,91,91,2,19,36,34,27,21,52
80,4,20,14,65,51,17,34,63,40
35,58,43,12,61,73,36,20,67,63
65,96,42,40,18,82,55,83,1,52
72,4,95,33,85,66,86,15,22,27
85,50,8,54,38,90,27,0,89,79
95,75,17,46,60,93,46,12,53,58
48,92,36,45,38,45,76,68,37,2
57,29,65,62,33,67,35,33,28,77
26,12,52,90,35,31,51,68,42,88
76,67,21,11,30,3,13,81,71,53
60,14,86,90,91,4,10,5,7,9
19,60,42,68,7,8,3,39,53,45
58,78,11,85,36,52,7,96,29,29
54,43,77,44,67,48,13,92,9,4
85,28,52,86,21,75,80,17,70,88
18,97,9,98,58,31,70,7,9,24
56,29,31,5,49,7,91,67,33,84
84,46,70,1,92,19,53,72,39,60
48,86,35,64,80,83,83,66,86,66
2,4,90,47,14,14,73,45,6,60
24,23,82,38,59,78,89,55,65,1
77,79,5,88,65,91,8,48,18,30
91,27,31,19,21,95,96,75,54,62
46,2,55,90,24,28,18,77,77,65
79,45,90,97,9,37,79,40,45,52
96,17,93,77,17,47,97,51,77,81
13,50,60,10,93,67,50,9,37,12
89,77,14,22,63,14,36,11,17,70
14,78,41,19,92,75,68,50,98,96
72,63,81,7,12,10,60,34,86,33
20,43,50,87,74,86,24,80,77,57
87,41,47,51,59,25,25,90,80,23
61,11,16,44,78,55,22,14,93,48
11,53,73,55,56,97,76,4,81,15
53,98,57,4,77,1,83,86,43,44
47,6,79,3,33,47,75,40,25,51
23,75,49,85,30,78,22,93,43,79
42,10,91,10,98,83,48,95,76,54
7,26,10,89,6,63,30,10,64,43
89,19,88,62,71,19,74,23,89,18
2,97,99,52,24,90,98,33,39,89
52,5,76,93,49,81,61,35,12,62
64,19,47,86,4,88,77,94,50,89
8,32,49,91,8,49,74,10,17,53
45,30,99,75,31,56,47,3,73,91
75,58,85,76,75,83,23,13,21,47
94,78,99,47,14,8,11,2,28,61
82,96,92,25,44,31,19,6,83,30
79,21,42,46,5,46,60,48,0,27
37,2,78,13,51,71,12,79,41,87
74,90,11,77,78,96,1,58,6,20
75,37,78,76,42,41,7,74,94,67
3,31,28,5,2,71,82,20,16,37
88,61,59,77,38,21,61,38,7,74
85,45,41,13,18,8,91,44,46,82
98,12,67,83,70,79,75,58,15,14
76,64,30,59,19,83,81,28,44,11
37,68,5,3,86,22,68,56,40,16
50,40,15,36,59,45,6,94,75,65
9,3,25,42,47,21,43,59,34,56
73,87,88,2,28,39,65,11,71,17
62,14,18,10,38,6,95,10,29,25
14,98,0,97,71,84,7,88,3,87
41,90,8,69,83,75,27,58,43,0
98,54,71,66,31,36,47,81,0,65
97,5,25,88,8,98,53,57,72,9
60,94,41,52,90,35,54,34,74,96
90,99,31,83,17,79,68,83,37,86
31,60,28,65,44,40,99,66,89,61
33,76,32,52,89,36,85,93,43,85
35,99,32,91,21,99,7,31,98,49
71,55,57,71,24,15,17,34,19,86
66,14,23,95,93,48,1,68,71,13
98,85,25,75,62,56,79,35,82,61
69,56,67,68,98,84,39,69,4,79
50,97,3,96,86,64,29,56,83,19
5,34,91,18,17,43,9,4,62,72
44,40,23,61,34,15,88,10,12,3
34,63,91,6,60,53,0,54,81,24
40,26,59,12,86,20,26,33,30,11
20,49,35,82,11,60,82,71,41,42
56,19,11,5,29,13,60,98,79,36
92,50,20,84,91,82,95,91,24,96
50,48,38,47,41,60,47,49,72,64
41,90,40,34,61,94,99,35,32,1
20,85,83,49,61,24,76,45,73,64
0,37,34,92,83,51,46,98,12,20
54,43,9,41,93,51,73,40,81,93
99,12,93,1,45,3,56,44,2,15
11,85,57,76,28,78,29,22,4,52
72,89,73,77,22,87,52,60,38,16
88,88,40,53,82,77,32,39,91,65
74,34,42,55,37,13,76,53,94,95
65,20,32,39,28,55,99,48,46,84
42,8,64,49,22,66,44,84,93,70
29,36,33,32,42,50,41,79,46,24
42,84,3,16,96,9,2,71,85,93
69,34,48,19,50,80,95,25,13,95
76,45,32,55,54,89,60,68,11,0
39,67,37,99,81,9,39,93,79,80
56,94,60,7,31,81,20,15,70,62
62,80,53,90,57,45,44,20,74,37
38,20,9,73,98,15,69,19,89,22
15,40,53,19,45,80,24,71,71,1
45,58,47,2,4,83,9,54,24,65
92,54,95,15,14,44,77,34,51,40
39,90,79,65,67,69,67,62,95,95
49,97,75,87,87,55,36,6,38,62
29,39,63,71,63,42,50,17,52,39
68,50,86,34,46,8,90,76,94,46
13,37,70,82,11,61,2,27,49,83
99,19,56,46,21,58,32,80,84,31
0,69,29,44,74,97,58,74,38,2
71,72,85,14,81,29,28,38,69,56
74,83,25,42,41,85,84,15,6,95
65,31,28,30,65,91,3,75,97,90
39,66,98,45,97,8,46,1,86,80
97,46,45,31,61,0,31,8,89,66
73,77,80,77,52,62,99,62,35,48
47,27,24,89,6,9,77,31,53,3
8,77,40,60,26,3,80,40,69,99
6,21,87,82,39,52,8,36,23,52
57,64,0,8,33,49,95,92,83,70
43,16,90,64,76,59,40,24,44,17
77,34,74,45,73,16,79,95,95,91
80,58,80,39,56,6,21,31,94,69
47,75,30,38,81,1,7,95,1,35
4,2,59,94,33,61,21,92,64,24
20,76,40,37,4,5,78,97,60,51
48,99,85,93,26,5,85,22,91,20
81,98,56,73,87,87,71,92,11,40
23,95,17,74,71,86,69,41,89,51
9,24,86,92,2,20,82,85,48,16
81,1,92,85,21,83,97,42,67,22
62,87,33,23,0,54,97,55,55,50
45,28,63,85,6,23,31,42,98,31
57,34,69,42,40,23,55,73,60,76
60,65,64,96,92,21,86,6,61,90
39,36,74,14,91,74,74,67,19,57
31,80,15,63,99,68,69,33,91,3
52,12,71,2,40,45,53,40,27,84
6,99,61,52,87,74,49,21,45,17
97,57,39,91,54,73,76,69,39,45
69,20,65,8,73,44,22,17,14,18
99,48,36,64,76,68,0,27,3,66
67,71,62,15,85,85,47,5,69,2
97,53,51,55,41,14,23,27,69,60
47,59,51,3,55,27,3,70,93,78
57,48,55,59,68,92,19,94,19,65
9,79,2,91,7,7,94,29,58,85
33,36,0,9,85,46,24,91,65,68
14,22,19,29,6,84,11,99,34,83
35,72,50,99,96,91,63,40,80,93
85,49,99,21,83,2,91,99,52,6
46,31,62,78,31,83,15,20,62,97
37,59,14,36,8,11,92,55,44,49
90,80,50,54,13,19,44,95,35,5
33,98,69,44,51,78,44,53,4,26
2,32,2,21,39,11,74,93,65,55
1,35,70,47,71,53,45,31,16,37
95,29,68,14,50,54,84,12,66,80
31,81,48,79,78,51,40,35,77,33
75,41,11,22,85,80,77,26,0,41
77,25,85,29,24,79,3,6,37,98
97,90,97,50,10,93,28,85,12,40
92,41,83,51,94,29,88,82,41,12
10,24,71,21,54,49,87,21,58,23
78,96,29,90,15,92,30,4,9,65
41,90,34,83,6,83,88,66,55,79
2,78,80,12,12,0,24,49,79,70
99,74,17,57,15,44,1,41,25,61
85,63,45,31,32,63,9,13,17,98
76,35,77,42,26,9,81,4,17,20
32,49,19,44,65,78,16,72,60,32
67,56,40,21,26,91,92,59,57,31
33,80,81,41,25,37,0,12,45,75
98,1,79,62,47,32,32,85,24,85
72,44,55,44,77,81,34,81,94,66
35,94,50,82,97,30,46,78,5,54
5,25,78,42,22,47,85,94,49,57
31,15,34,91,28,45,83,55,19,42
48,28,88,7,48,61,89,9,63,68
74,80,13,79,45,65,55,38,66,20
97,44,26,69,81,26,35,46,8,22
46,62,26,45,83,0,3,17,27,19
53,34,84,51,4,53,19,49,89,6
1,6,36,51,41,99,68,18,2,0
23,34,19,53,59,76,64,56,83,21
93,91,67,71,15,3,64,82,38,11
96,28,21,73,46,32,43,26,10,56
90,71,55,13,39,36,62,57,56,35
59,99,45,70,60,39,66,30,10,93
27,62,13,8,92,63,70,45,81,61
54,64,45,19,6,24,83,99,42,71
32,74,86,72,99,9,83,66,15,20
64,33,58,77,87,0,19,75,87,86
17,32,52,27,16,39,3,88,38,42
99,9,77,59,78,49,55,82,70,66
85,36,61,82,54,93,87,24,72,20
9,36,6,75,6,69,7,83,98,39
24,68,20,26,38,84,43,10,71,60
47,92,82,70,93,55,63,67,63,62
81,89,71,80,32,6,73,42,56,78
88,86,0,11,67,9,98,60,85,52
80,56,39,16,1,85,60,3,31,13
47,65,9,22,12,57,62,62,27,46
17,16,16,97,60,81,44,22,41,93
39,43,47,23,90,37,21,3,24,29
49,65,78,71,38,56,25,19,56,64
33,14,31,69,53,51,5,67,4,17
62,74,11,62,32,44,30,90,12,74
72,84,96,58,52,42,98,11,44,55
17,55,98,41,11,82,25,2,38,82
20,48,39,51,5,33,39,72,97,60
73,66,51,38,27,3,28,40,20,50
9,69,62,90,7,27,89,72,41,21
8,56,47,53,22,42,5,99,68,56
86,87,69,30,0,1,97,47,22,86
76,43,47,29,22,89,46,11,99,99
96,34,95,93,34,91,44,61,99,88
12,41,93,89,81,27,12,51,84,15
16,20,24,80,98,76,93,76,48,10
94,19,27,60,37,56,31,8,9,41
8,66,93,70,77,76,15,24,83,81
58,12,81,41,86,40,93,6,17,33
0,85,72,55,18,56,1,50,72,75
38,48,74,3,63,39,82,90,16,20
83,40,91,77,21,48,90,74,77,29
32,1,77,28,85,69,18,92,23,96
57,60,28,22,0,55,13,67,83,66
84,56,55,70,40,40,40,98,31,38
66,94,31,65,86,23,8,26,92,71
43,52,31,30,27,58,15,93,31,44
35,68,0,65,17,58,89,52,62,86
4,38,64,50,98,7,57,63,81,91
75,15,67,73,98,96,99,72,68,95
28,66,29,61,0,89,71,4,83,35
30,40,12,80,3,9,25,80,55,46
40,0,58,1,98,94,70,18,98,98
20,69,90,68,75,76,1,63,33,26
79,99,40,46,44,84,98,33,62,61
87,47,17,32,27,28,87,94,49,45
26,86,79,8,42,84,45,17,20,80
67,21,84,87,24,70,86,30,81,27
53,69,19,23,11,50,31,15,35,70
70,28,27,43,30,91,39,44,61,68
79,14,68,49,26,13,77,23,86,66
90,60,74,1,28,35,81,75,17,29
98,62,77,22,2,24,3,64,40,51
76,59,46,17,60,88,28,53,22,94
89,55,30,78,13,61,10,40,77,35
27,6,27,70,24,71,48,19,85,13
82,55,22,4,95,6,14,5,78,90
24,53,56,26,80,34,36,40,96,95
12,85,61,33,78,26,47,88,93,45
32,53,86,93,14,99,80,5,96,79
75,53,50,90,71,30,12,16,64,42
67,73,45,52,20,1,16,62,65,13
55,38,63,17,39,42,44,12,32,67
24,25,0,80,20,36,17,79,4,36
19,71,24,25,36,57,9,6,21,53
51,60,44,53,68,60,94,83,23,67
6,24,84,83,99,18,10,34,41,58
88,63,20,12,9,63,56,99,20,81
63,5,2,78,32,95,13,72,82,42
52,50,13,6,82,16,17,59,9,21
19,41,58,63,61,40,18,69,19,86
58,74,63,26,45,50,39,32,12,62
30,79,81,74,79,68,23,48,62,74
43,21,32,77,84,84,20,55,44,84
95,81,15,51,26,61,52,39,97,33
9,17,43,31,80,86,57,6,83,31
68,5,88,67,92,21,32,63,28,47
51,49,7,17,9,82,89,89,99,8
46,60,70,3,72,8,70,9,51,73
17,37,75,24,44,63,71,8,63,65
31,87,60,90,57,89,56,92,66,94
85,39,19,61,79,86,83,55,35,81
47,96,29,99,13,79,52,44,10,22
70,20,94,38,81,29,2,71,80,31
41,44,19,10,27,47,76,88,87,10
39,14,31,83,48,98,26,99,24,34
22,26,63,62,50,63,94,38,7,51
20,49,33,72,4,84,24,36,13,57
21,89,66,59,57,95,36,95,11,22
10,32,65,57,74,34,41,64,25,70
34,57,44,74,68,6,36,71,69,93
39,42,60,89,81,39,13,41,53,39
5,95,6,13,37,53,31,84,72,37
38,88,72,81,88,50,91,59,90,71
9,29,34,44,7,44,12,31,99,38
51,17,15,48,49,13,97,18,48,73
74,15,50,83,46,61,17,60,25,81
15,16,26,84,10,73,4,68,22,90
47,2,97,29,7,89,15,39,96,37
45,88,35,30,76,33,34,11,47,16
82,37,22,21,28,51,64,38,31,16
16,93,94,65,6,22,44,13,36,11
39,25,75,54,63,23,18,20,24,97
88,79,58,89,66,99,11,19,56,81
50,26,31,49,43,57,31,87,36,36
63,71,53,69,59,22,31,85,78,35
93,42,39,98,35,61,53,79,10,49
21,52,8,8,47,45,26,82,58,55
39,79,3,25,64,15,38,36,51,70
98,15,90,66,60,42,49,84,97,32
60,52,98,91,48,47,38,87,72,2
86,0,6,22,31,46,88,10,0,53
2,51,70,12,50,80,46,4,20,22
34,59,51,78,61,35,59,63,84,62
73,39,53,63,68,73,17,96,60,94
98,95,44,37,34,11,19,28,12,23
94,65,47,57,60,64,43,22,62,7
88,50,78,13,85,27,78,28,62,74
95,16,98,21,75,37,43,97,74,79
97,18,48,90,62,18,93,5,48,56
29,53,59,17,73,61,46,8,83,77
57,1,56,0,64,33,79,25,29,51
57,7,75,3,9,71,57,18,6,78
89,41,98,19,0,34,2,11,61,5
27,97,46,99,26,19,11,33,41,76
41,78,77,77,83,28,1,8,87,22
81,89,37,48,62,3,11,32,24,16
0,26,99,30,11,92,63,95,36,26
97,17,75,74,88,86,59,6,15,43
16,45,23,41,21,94,49,26,84,26
34,34,6,52,87,79,56,66,52,80
85,51,78,6,48,90,6,26,12,21
66,85,76,74,58,30,61,73,0,39
48,53,58,98,54,44,28,40,45,12
5,74,47,45,97,24,39,26,29,86
84,47,53,20,19,85,91,76,32,97
79,18,72,90,36,38,24,97,18,28
98,55,72,76,96,62,25,84,44,36
10,51,97,81,23,72,47,14,45,93
38,46,61,84,5,62,68,84,60,43
9,40,71,24,25,26,28,72,53,72
54,74,3,94,80,51,77,78,48,82
87,96,88,32,45,39,4,55,48,66
84,75,19,66,10,65,44,70,69,40
88,0,71,58,11,54,2,27,78,30
33,26,3,50,54,24,32,89,42,89
51,67,36,0,42,37,15,7,68,91
95,12,83,73,0,9,30,0,94,51
99,19,11,35,80,24,56,70,27,13
23,74,82,2,72,93,67,2,38,43
62,0,83,94,97,29,45,74,7,85
14,42,10,31,22,5,30,42,41,43
31,3,60,28,58,65,35,89,46,22
43,81,48,40,87,24,60,3,61,67
16,15,73,57,27,52,84,56,28,19
34,7,24,13,66,31,2,63,9,29
75,41,13,11,33,76,46,28,46,71
3,94,51,67,50,20,70,26,19,22
96,79,23,15,28,60,84,17,74,61
63,63,10,80,57,81,9,97,31,11
55,69,19,36,83,81,6,22,73,37
33,12,46,95,48,97,43,49,80,64
3,33,58,15,6,95,97,44,45,25
71,74,73,90,29,64,66,40,87,48
5,85,66,48,85,16,23,57,97,90
96,69,59,5,26,70,99,86,67,11
88,59,73,79,63,36,73,85,59,39
11,26,87,47,54,22,29,87,45,12
14,93,50,18,36,81,77,60,86,46
21,54,78,20,49,21,6,67,40,87
52,28,56,19,15,63,83,26,46,60
56,61,0,22,26,65,21,48,6,78
80,91,64,65,85,70,10,45,6,34
88,15,2,79,83,96,7,83,39,97
37,54,1,59,9,47,64,9,86,79
86,25,58,30,15,19,25,62,80,49
49,2,91,44,96,38,89,58,64,31
31,49,77,84,66,71,77,68,66,26
80,91,78,78,15,73,91,59,13,8
85,89,55,15,8,48,43,79,84,94
25,7,60,71,85,72,86,20,70,45
58,0,57,53,36,58,18,67,44,80
81,3,67,33,65,57,79,6,37,42
67,54,85,26,81,94,3,24,55,22
85,88,26,19,32,25,23,94,89,36
4,67,54,80,28,67,67,84,92,14
78,23,28,26,36,42,11,31,76,3
64,68,66,60,61,21,93,8,21,28
44,99,10,93,34,62,49,33,60,32
38,44,40,21,85,21,36,47,73,21
7,50,36,57,72,71,84,83,48,83
33,17,85,31,95,58,82,76,94,39
27,74,45,48,73,22,31,95,77,36
90,54,32,28,83,79,89,5,6,22
85,52,63,63,20,25,83,21,25,0
39,34,56,56,29,89,93,93,8,91
53,96,54,77,95,42,88,52,90,51
62,89,80,31,81,32,32,66,48,99
64,64,46,81,48,97,0,11,81,40
55,42,13,93,14,8,59,14,41,17
6,82,69,92,49,15,6,48,84,82
62,19,16,19,58,33,38,77,92,93
67,46,84,69,95,98,8,12,78,72
37,45,44,58,26,87,58,27,60,89
92,76,29,26,22,78,19,98,10,36
17,97,4,26,27,76,86,37,94,42
90,97,99,61,44,26,87,26,75,87
5,11,57,37,95,78,89,76,73,51
49,6,76,58,95,37,49,28,6,55
23,12,53,79,97,67,36,49,15,33
98,0,86,96,88,53,85,62,24,61
48,78,51,61,31,18,82,67,74,49
38,97,44,86,53,35,32,77,21,6
42,2,17,87,32,51,96,62,82,40
60,8,77,71,73,20,80,50,19,53
88,67,57,16,97,54,49,84,29,77
80,74,96,37,35,0,3,98,8,2
30,0,60,49,71,30,11,92,63,68
9,91,43,96,92,23,67,36,2,6
78,1,43,88,29,85,45,19,80,49
44,30,64,6,8,16,64,4,47,90
88,45,49,35,78,17,21,34,75,25
19,44,65,62,45,40,89,56,86,82
33,10,86,16,89,10,55,85,68,74
34,61,30,33,26,69,24,92,5,77
25,83,89,54,23,74,12,46,99,6
25,68,96,62,70,11,4,51,6,39
56,88,68,75,66,57,61,23,44,44
79,3,87,34,38,54,98,0,59,46
0,0,69,27,91,20,4,57,84,33
69,5,41,92,38,22,79,8,21,52
98,88,13,97,17,77,95,11,39,55
78,71,90,37,66,76,78,31,27,56
14,32,38,28,49,81,31,87,91,18
10,71,3,31,28,14,84,70,81,80
24,72,70,77,63,28,72,45,13,63
65,26,86,97,57,25,94,89,11,26
24,99,87,29,81,27,92,6,49,41
70,26,98,54,95,12,11,67,13,60
14,3,27,58,99,46,26,41,41,83
66,63,24,24,79,26,51,23,60,58
63,43,46,19,76,62,61,49,16,62
74,47,94,45,21,79,66,58,83,38
34,49,94,19,58,20,43,66,27,36
3,53,47,22,36,53,21,72,91,82
3,5,45,8,45,26,74,81,69,69
66,17,5,39,6,60,89,48,47,80
55,21,80,53,23,16,47,94,57,86
88,79,45,30,41,42,93,15,91,67
36,76,8,81,0,90,26,50,55,57
77,34,4,81,18,90,15,79,1,84
32,46,17,43,60,80,11,64,37,89
25,48,15,52,13,72,27,30,90,67
78,97,66,71,37,88,70,21,15,35
3,44,82,79,55,35,69,90,31,81
8,3,60,76,25,61,46,10,34,43
71,37,64,54,25,25,82,28,91,96
48,61,89,59,79,78,4,20,35,28
62,69,83,95,78,66,28,92,1,51
48,21,72,57,96,7,4,36,15,36
53,79,12,69,27,66,70,88,18,75
1,94,50,75,64,40,13,30,65,74
27,0,1,75,34,23,96,24,5,25
99,72,53,30,16,59,32,82,39,67
99,9,64,43,95,94,70,74,30,11
12,19,44,97,16,40,44,58,73,67
93,98,75,7,18,26,38,39,31,60
92,55,2,79,48,23,43,6,94,31
99,28,20,27,45,12,43,71,25,31
83,9,5,94,29,92,51,20,28,40
1,80,31,55,51,21,43,89,92,35
70,8,58,91,14,46,88,64,9,2
44,62,36,81,29,58,37,79,16,58
95,70,71,40,32,40,91,80,70,89
21,69,21,82,22,52,62,10,94,19
97,16,64,25,51,6,85,8,81,13
93,74,83,31,38,60,18,48,12,8
43,68,87,88,76,89,37,8,94,17
26,84,26,32,37,84,38,71,1,63
46,19,72,55,25,34,78,91,70,71
90,82,88,87,60,40,80,70,96,73
82,46,5,48,24,40,41,67,25,78
81,1,93,48,34,11,29,35,2,71
54,26,8,46,44,98,16,65,70,7
76,94,6,34,39,5,2,45,68,19
55,89,24,42,61,82,65,52,54,17
92,42,47,33,37,98,99,9,82,54
5,19,72,22,20,45,23,91,79,9
0,79,37,22,4,61,56,85,32,56
29,21,81,70,25,84,25,5,5,28
25,95,73,26,46,6,99,32,13,32
2,52,91,3,35,89,4,62,92,69
80,92,24,53,11,93,36,19,76,21
53,84,83,77,39,30,40,82,29,4
50,54,43,36,87,34,58,78,48,36
72,96,34,2,29,10,34,72,54,48
0,19,73,19,61,10,2,47,90,79
55,77,17,34,12,79,89,94,84,89
84,89,84,84,22,34,26,42,93,29
81,11,1,90,10,67,90,23,49,96
43,91,95,24,64,75,99,91,48,71
39,16,97,23,63,17,75,31,98,53
39,15,55,81,89,66,31,92,71,67
52,94,43,94,33,83,10,84,24,44
48,31,71,50,18,3,50,34,61,67
25,76,57,12,56,24,69,49,31,84
66,36,50,55,18,88,83,39,11,86
31,93,42,21,61,50,80,72,20,67
29,35,30,4,51,84,68,82,83,76
11,59,27,31,67,1,32,28,80,81
63,55,89,49,86,45,18,72,12,97
46,1,57,89,97,92,34,42,56,39
87,98,8,41,98,6,2,5,9,10
50,97,67,96,89,60,10,64,41,69
82,18,30,44,22,27,10,45,47,73
22,92,6,82,71,88,16,32,24,7
24,74,6,68,70,77,33,93,39,41
51,90,30,78,11,85,98,14,57,92
91,21,92,27,54,40,89,71,17,58
76,34,0,16,67,33,41,8,92,49
78,18,98,97,83,76,11,34,73,36
28,42,80,97,39,11,36,33,32,95
21,22,24,55,5,74,41,73,38,73
43,82,28,74,43,94,7,0,16,0
99,54,17,59,29,94,93,34,7,81
52,1,76,98,45,40,80,95,43,62
89,91,35,88,50,7,56,84,16,86
86,15,86,34,14,72,82,70,11,38
42,45,56,93,89,40,39,74,74,35
8,70,95,52,26,12,15,51,0,66
17,13,40,98,92,45,7,92,31,52
62,66,93,22,13,45,40,49,30,87
19,33,10,30,77,55,4,42,22,52
25,6,94,73,86,90,50,52,9,2
12,52,74,80,48,54,19,93,67,76
27,16,70,7,22,66,94,63,4,88
37,4,73,76,42,96,3,96,80,71
10,12,49,40,16,73,12,90,67,53
85,31,99,98,33,31,40,91,4,62
5,1,68,69,57,39,63,95,37,43
50,85,27,46,30,61,24,43,72,43
47,69,70,77,11,3,29,5,73,84
76,8,58,93,35,43,73,7,41,88
0,85,88,55,39,46,88,50,30,81
16,19,40,56,8,60,88,78,63,27
39,97,7,95,45,8,82,11,58,28
8,9,94,91,46,4,66,19,63,35
63,83,9,54,7,20,98,99,80,8
16,71,35,59,89,52,91,74,72,48
